	module
RBM48	-1
TGFBR3	-1
ABCG5	0
CAND1	-1
KRTAP29-1	-1
LRRC46	-1
CFAP61	-1
DLGAP1	-1
DYNLT3	-1
ZNF425	-1
PADI3	-1
CCDC88C	12
GUCD1	-1
B9D1	-1
CENPO	22
TSTD2	21
ANKHD1	-1
FCRL6	12
SNRPA1	-1
CCDC25	-1
NUDT14	-1
SLC16A8	-1
ILVBL	-1
RAB13	-1
CD70	-1
NACA	5
BCS1L	27
BICD1	-1
POP5	-1
BCAP29	-1
MBTD1	-1
MAPK8IP1	18
POTEE	-1
POU2F2	12
MAPKBP1	-1
PROSER3	15
TNFSF13	-1
KRT2	-1
KCNH4	-1
C14orf93	-1
ZNF655	-1
CLCN3	-1
PLCXD3	-1
USH2A	3
RIOX2	-1
WBP2NL	-1
UHMK1	-1
RPL24	5
CNTLN	-1
RETN	-1
SLC41A3	-1
GMPR	-1
CYP1A2	-1
DNAJB12	-1
ZNF157	18
SHLD1	-1
SRPRA	-1
RABGAP1L	-1
FGD1	-1
UBQLN2	-1
C10orf90	-1
CARNMT1	21
RBMXL1	20
FTO	16
CACHD1	-1
GNG11	-1
APOBEC3F	-1
RELB	-1
CYP4Z1	24
NUP210L	-1
SETD6	-1
CAPN7	20
DCXR	-1
GUF1	25
ANKRD18A	-1
MEIS3	13
MAU2	27
COX6A1	-1
SYCP3	-1
AC079447.1	-1
RFWD3	16
GLYATL2	-1
WDR86	-1
THSD1	-1
CXCL1	-1
ATAD5	22
CPT1A	-1
SGMS2	-1
BAG5	-1
ACKR4	-1
AUTS2	-1
FANCE	-1
LYRM2	-1
FAM76B	-1
SPATA33	-1
FEZ1	-1
RNF141	-1
OSGEP	-1
CTSH	-1
ZSWIM4	-1
GJB5	10
SSNA1	21
FGF22	-1
CPSF6	-1
CHST10	-1
SLC43A3	-1
RPIA	-1
CALML6	-1
FAM90A1	-1
ADRA1D	-1
HBQ1	-1
MADD	-1
STAMBPL1	-1
SDC3	-1
HOXB1	-1
UBE4A	-1
KAT8	16
QSOX1	-1
STIM2	25
ZFYVE16	25
C4orf19	-1
ADAMTSL1	13
TCIRG1	-1
MEIG1	-1
MRGPRF	13
NRARP	10
SLC44A2	-1
ELP4	-1
PSD2	19
CMTM6	-1
CA8	-1
MAMDC4	-1
MS4A6A	12
ZNF142	27
SLC35E3	-1
GPR158	18
FAM200A	-1
ACADL	-1
CNR2	12
NUP214	21
IGF2BP2	-1
PHYH	-1
FAM98B	25
ZNF891	-1
KCNMA1	13
SLC6A15	-1
SQLE	-1
XCL2	-1
VIPAS39	25
RBM45	-1
COA1	11
TMC5	-1
KIF2C	22
DONSON	22
RPL4	5
AC087289.3	-1
UBE2E2	-1
ZNF197	20
LRP6	-1
SPINK4	-1
NBPF26	-1
LRRC4C	-1
MRPL3	23
FAT1	-1
DOP1B	20
TROAP	22
CCR1	-1
NIPSNAP3B	-1
CASKIN1	-1
TIMMDC1	23
NBPF12	-1
FCGR2B	-1
SNX19	-1
SIGIRR	-1
CASR	-1
ACTR3C	-1
PDIA6	-1
ZNF423	-1
MXI1	-1
AOC2	-1
GIMAP6	12
AAR2	26
SLC1A5	-1
TACR3	18
GPHN	-1
MVB12A	-1
DLX5	18
XKR5	-1
SF3A2	-1
SLC7A11	-1
DUS4L	-1
MITF	13
EFNA3	-1
NPTXR	-1
FGG	0
NDUFA5	-1
STX1A	11
MRFAP1	-1
ADAM22	-1
NR1H2	15
FGF18	-1
RUNDC1	-1
PSMB8	-1
CPQ	-1
FOXN4	18
SLC16A1	-1
VEGFC	-1
GPR141	-1
MS4A4A	-1
ATAD2	22
MMD	-1
OLFM2	-1
