"","colnames.imvigor.","dynamicMods"
"1","SPAG8",3
"2","CHN2",3
"3","CUX2",8
"4","SLC39A7",1
"5","MBOAT7",0
"6","MAP1LC3B",5
"7","CCDC192",1
"8","ASF1B",3
"9","DCN",5
"10","MEGF8",3
"11","SLC2A9",9
"12","FAM124B",7
"13","FAM151A",13
"14","EXOC3L4",13
"15","RNF121",1
"16","KCTD19",1
"17","DKK3",5
"18","B3GLCT",1
"19","FXYD6",7
"20","LRSAM1",1
"21","ARF1",6
"22","FILIP1L",10
"23","TERF2",1
"24","RAD23B",1
"25","ASAP1",5
"26","CSMD3",3
"27","SEMA5B",0
"28","TTC39A",0
"29","SLC16A11",12
"30","CDA",4
"31","RPS19BP1",6
"32","SMARCA1",2
"33","COL16A1",5
"34","TLE3",1
"35","GPD1",8
"36","CATSPERD",1
"37","PHF14",1
"38","SLC52A2",0
"39","HAUS5",12
"40","KCTD15",9
"41","LRRC23",3
"42","CDH4",9
"43","BORCS8.MEF2B",2
"44","PZP",2
"45","C1R",5
"46","WNT9A",3
"47","NPAS2",1
"48","HMGCS2",4
"49","TRIM39",1
"50","IL5",1
"51","NFATC4",7
"52","GSTM1",0
"53","RBMXL2",2
"54","UHMK1",3
"55","MAP3K11",9
"56","ADAMTS3",4
"57","SREK1IP1",1
"58","SUFU",1
"59","PSTPIP2",4
"60","ZHX2",2
"61","HBQ1",3
"62","MYH11",7
"63","CD36",1
"64","CRYAB",7
"65","CSAD",0
"66","UBE2B",1
"67","ARMC3",3
"68","NTNG1",14
"69","LCMT2",1
"70","PRCD",2
"71","C1QTNF6",5
"72","NCKAP1",1
"73","NAT1",1
"74","RPS5",6
"75","COLGALT1",4
"76","RAD54L",1
"77","IL20RA",4
"78","INO80B",6
"79","AXDND1",0
"80","SCRIB",6
"81","SLC46A1",1
"82","TEDC2",3
"83","TMEM121B",3
"84","SRSF6",1
"85","GLB1L2",3
"86","NADK2",1
"87","COLCA2",3
"88","SRSF9",2
"89","CNTRL",2
"90","ZNF792",0
"91","BORA",1
"92","ZFYVE28",2
"93","SLC25A10",0
"94","C2orf42",1
"95","HELZ",1
"96","NUGGC",2
"97","EVX1",4
"98","RNF217",5
"99","ABCA13",1
"100","POLK",1
"101","MTMR1",1
"102","CLASP2",1
"103","KIAA0040",2
"104","RAB27B",4
"105","RTL5",7
"106","BORCS7",6
"107","RIPOR1",1
"108","ZW10",1
"109","BATF3",2
"110","PAICS",1
"111","LMO4",3
"112","SUSD2",14
"113","NTF3",3
"114","EMC6",1
"115","BNIP3L",1
"116","KRT17",9
"117","VAMP2",2
"118","KPNA1",1
"119","EME1",1
"120","OLFML2A",10
"121","BCAR1",0
"122","HERPUD2",1
"123","DCAF5",1
"124","COL3A1",5
"125","SOCS4",1
"126","MAGIX",0
"127","SPRED2",6
"128","VAT1",0
"129","NCAM1",3
"130","PSD",7
"131","FNDC8",1
"132","BCDIN3D",1
"133","CYP8B1",8
"134","OLA1",1
"135","TUBA3D",1
"136","TMIGD3",4
"137","GAMT",8
"138","FBXO10",14
"139","PRICKLE2",5
"140","EVI2B",2
"141","IDO2",13
"142","FOXRED1",1
"143","DAP",1
"144","KCNG2",0
"145","GNB1L",9
"146","POLB",1
"147","L1CAM",0
"148","CABP7",3
"149","QPRT",1
"150","TNKS2",1
"151","IGFN1",7
"152","LINGO3",2
"153","ACVR1B",1
"154","FRMPD4",0
"155","IRAK3",4
"156","CCL3",4
"157","CFAP97",1
"158","SUCLG2",1
"159","SLC4A5",1
"160","DMP1",1
"161","PI4KA",1
"162","PHC2",5
"163","MAFA",0
"164","CEBPG",1
"165","ADAMTS17",3
"166","XXYLT1",1
"167","DNAJC10",1
"168","NDUFS5",1
"169","LRRC8C",2
"170","L3MBTL3",1
"171","MOCOS",1
"172","ERO1A",2
"173","REEP4",6
"174","CLHC1",1
"175","MMP15",4
"176","SLC25A33",1
"177","NEO1",11
"178","ZNF585A",1
"179","CNTN2",14
"180","CFAP44",1
"181","LTN1",1
"182","GALC",1
"183","RDH10",0
"184","PSTK",1
"185","B3GALNT2",1
"186","TOX3",4
"187","NOP14",6
"188","ILVBL",4
"189","C3orf20",13
"190","GRHL3",4
"191","CCDC92",0
"192","PMS2",1
"193","GDPGP1",1
"194","SELENOI",1
"195","GIT1",1
"196","MTFMT",1
"197","GORAB",1
"198","GPT2",8
"199","KRT40",0
"200","ESYT2",7
"201","SLC10A7",1
"202","TNIP1",4
"203","PRAF2",5
"204","ADAM22",3
"205","CD276",5
"206","IL17C",2
"207","WASHC4",1
"208","POLH",1
"209","CORO1B",2
"210","KIF13B",1
"211","GOLGA8B",1
"212","ACSL1",8
"213","CALB2",5
"214","KCTD17",0
"215","B4GALNT3",3
"216","VPS13A",1
"217","PSME4",1
"218","SLIT2",7
"219","TRAF4",1
"220","TDG",1
"221","NKIRAS2",1
"222","SAMD4B",1
"223","GATA4",8
"224","DRAM2",1
"225","NBPF9",12
"226","MYOF",2
"227","PFDN2",12
"228","JKAMP",1
"229","SRCIN1",4
"230","PTPRO",4
"231","PTK7",5
"232","LPA",8
"233","ZFAND6",1
"234","SLFN5",2
"235","SGCD",5
"236","EIF1",1
"237","LAMC3",10
"238","CASK",1
"239","CFAP20",1
"240","B3GALT6",1
"241","HOXC4",11
"242","SYT5",3
"243","TCP11L1",5
"244","TOM1L2",0
"245","FMNL1",2
"246","PXMP2",1
"247","ARHGEF7",1
"248","ZNF528",1
"249","CHST10",11
"250","KLF17",7
"251","ITGA10",7
"252","CLEC4A",4
